,vid_num,url,username,nickname,description,music,like_count,share_count,comment_count,play_count,collect_count,comments
0,30,https://www.tiktok.com/@/video/7339380915870715144/,melrubyrey,melrubyrey,Secret’s out 🤫 ,original sound - melrubyrey,246000.0,2269.0,1342.0,1700000.0,15585,"['This would never happen in accident. This is 100% confirmation of TTPD being synth pop and I’m HERE for it 🤍', 'The way she said “synth sound 😏😏🤭🫣😛😋🤪😉”', 'Well TTPD is under synth pop 👀', ""I've known that since the ghost piano incident 😂"", 'She did it on purpose 😬', 'my damn keyboards playing a 🔈SYNTH 🔈 sound', 'I DID NOT LOSE NEW YEARS DAY AGAIN.', '“What if I told you none of it was accidental?” 🤣💕', '“None of it was accidental”. That SMIRK lol', 'I think a crew member might have accidentally hit the backstage', '“Well anyway…now you know what we’re doing…” 😂😂', 'ID START CRYING IF I HEAR THAT INTRO', 'I think this is an Easter egg for the sound of her new album.', '“I wonder if it’ll work though. I don’t think it will though” are probably lyrics to the song she’s referencing with the synth sound 😭', 'Here’s my theory: This was done on purpose and is an Easter egg for TTPD and that it is a synth pop while sounding similar to this', 'What if i told you none of this was accidental?', 'we all knew that from ghost piano', 'That’s definitely the start of a new track on TTPD', 'i was there it was rare i remember it all too well', 'SHE LITERALLY DID THE SMIRK WHAT THE FLIPPITY FLIP BRO', ""hahaha I had this synth piano when I was a kid 😂 abd it's giving call it what you want vibes"", 'Traditional pianos are too finicky to move. If you move them, you need to get them tuned every single time. They also go out of tune with humidy changes. Keyboard is way more practical.', ""i know i lost new year's day 🥰 (crying inside)"", 'theres glitter on the floor....😭', 'Fun fact: (almost) all authentic looking pianos on a tour are actually just a frame they assemble and disassemble at each venue for better traveling and so they don’t have to tune it every day or -', ""I just saw all the TTPD is synth pop comments so I looked it up and it fits the titles. Hope it's true"", '“What?😧”', 'me, a pianist: “well duh” 🤣😂😂', '@Liv Maitland oh whattt', '@adriana. it’s a tease for synth pop new album 😡', 'Her sinister look after she said “synth sound” 😂', '“Anyway now you know what we’re doing…”', 'SHE PLAYED NEW YEARS DAY 😭😭😭😭', 'I was there', 'THERES GLITTER ON THE FLOOR AFTER THE PARTY', '@ry 🫶🏼 OMGGG', '@blo @🍎 Juice TTPD IS UNDER SYNTHHHHHH', ""I really like this kind of non scripted part of Eras Tour it's sound like Taylor genuine talking to us"", 'A lot of musicians actually do this. It’s easier to pack & travel with 😅 a friend of mine does an Elton John tribute & he has a whole grand piano costume for his keyboard 🤣', 'Guess TTPD is synth pop. I will be here waiting for my rock album forevermore 😌']"
1,4,https://www.tiktok.com/@/video/7340402416682011947/,marewood,Mary✨💌🍒🎂❤️,HAHAHAHAHA Im so embarrassed oopsies… skincare was done & heatless curls.,Funny - Gold-Tiger,313.0,0.0,31.0,5814.0,4,"['LOL REAL', 'HAHA', 'Hey period girl', 'Lmao yes', 'I’m so dead😂', 'HAHAHA', 'HAHAHA they’ll just know you’re dedicated', 'Fr he’s going to be like she means business', 'this is too good haha', 'Sadly so real', 'lmao I love this', 'HAHAHAH', 'this is so real', 'I WAS CACKLING', 'LMAO', 'NOOOOOO 😭😂😂', 'Amazing 😅', 'HAHAHA NO WAY', 'YES IT WAS BAD', 'Hahahhaha', 'No fr', 'Haha❤️', 'Haha 😭', '😂😂😂', '😌', 'I’m sure the professor has seen much worse. I train for a WFH company and the amount of bras, boobs, and underwear I’ve seen is insane. 😅😂', 'I’m sure']"
2,67,https://www.tiktok.com/@/video/7340407030114569518/,appleuser279766483,Apple User279766482,Back again on mums pageee!!🤍,Hot people use this - 𝐗𝐕𝐒꡴,11.0,6.0,0.0,2000.0,1,[]
3,88,https://www.tiktok.com/@/video/7340338900440763691/,snerixx,Sam Erix,“I can tell when someone’s trying… and when they’re not.” 😐,original sound - Sam Erix,248200.0,2641.0,2185.0,1600000.0,14590,"['Literally stopped texting first , & now my phone is dryer than hell', 'Stopped reaching out and I haven’t heard from most people in months', 'There are friends who can go a while without talking and it’s okay, and there are others who you know you wouldn’t hear from again unless you reach out 🤷🏻\u200d♀️', 'No one reaches out to me so I don’t reach out to them', 'the “friend” who only reaches out when they want something from you 🙄 🤚', 'Bro it really isn’t hard to just send a fucking text back, there’s no way you’re that busy to wait forever to text me', 'THIS', 'god', 'Haven’t heard from this person in 15 yrs. Got a HS graduation announcement for her kid. Cause gifts…..😐', 'This sounds oddly FAMILIAR 😒', 'What’s worse is they do respond but it’s one word answers. Feels like I’m talking to a teenager who’s playing a video game', 'Yup!!', 'no cause i cannot stand ‘friends’ like this', 'I’m gonna reach out as much as you reach out,I stopped reaching out to people awhile ago,phones been peaceful lately.', 'Yeah and when they say they’re busy but you see them hanging out with other people 24/7', 'It’s kinda freeing when you finally decide to stop the one-way friendships', 'I 👏 CAN 👏 TELL👏 WHEN 👏 SOMEONES 👏 TRYING 👏 AND 👏 WHEN 👏 THEYRE 👏 NOT 👏', ""I've had this exact conversation abt a million times😐"", 'i had a friend like this. saying she forgets to answer but whenever we hangout she woukd be constantly on her phone texting others. id send her funny', ""I used to have a 'friend ' like this"", 'oh user friendly ones🤣', 'Fr', 'yeah let it wither on the vine', 'they about to get blocked pretty soon.', 'One of these guys are narcissist😌😌', 'Off topic but I LOVE YOUR HATTT?', 'the hell is she seriously asking for money for the honey moon', ""I've ended many friendships due to this"", 'I had more than one ""friend"" not call me when my mother died. Yeah we are not friends.', 'This is why I have no friends now', 'This convo wouldn’t even happen. Because they don’t care and never did.', 'The next time she reaches out it will be to join her MLM', 'U mean all of my “friends”? :/', 'I have had those friends and I am not about to beg anyone to stay', 'I never understood how you could be close friends for over a decade and they arbitrarily stop responding to you for absolutely no reason. They see you reaching out and simply ignore each attempt.', 'ok but sometimes we have ADHD 😭', ""literally did this she suddenly reached out yesterday to tell me she was pregnant. not the first time she's claimed this before it's been fakr"", 'I’m', 'extremely relatable', 'For your own mental health - only ever give what you receive. If you get nothing - you give nothing and enjoy life ✌🏽', 'so real']"
4,71,https://www.tiktok.com/@/video/7338099195007569153/,MakeUpForEver,MakeUpForEver,"NEW HD Skin Hydra Glow Foundation. Hydrate, smooth, plump & blur skin instantly. Now @ Sephora",Promoted Music,428.0,5.0,1.0,3300000.0,0,['$47???']
5,26,https://www.tiktok.com/@/video/7319956346454019330/,nyxcosmetics,nyxcosmetics,Find your shade and get the laminated brow look with 16HR hold. Vegan & cruelty free!,Promoted Music,4623.0,70.0,49.0,19400000.0,58,"['Shit SUCKS 😘', ""The clear one leaves a visible film I don't like it."", 'This works so good fr', 'tried this and i hate it', 'We really just needed the clear tbh but yeah thanks', 'Discrimination against redheads. Thanks', 'girl i been had this off temu', 'WEEZER BLUE', 'I don’t have eyebrows', 'Works so good but made my skin flare …beware sensitive skin !', 'One of my fav brands', 'it’s aight', 'ok', 'I literally bout it today lol', '@ava this is what i was taking about', 'can we make a ginger shade plz', 'wow everyone hates this? i use it all the time and love it.', '#SaveRafah 🇵🇸', 'this made my eyebrows fall out 💀', 'just use hair gel', 'no auburn??', '@kayla no way this just came up hahaha', 'I LOVR YHIS SOOOOOOOO MUCH', 'yas love it', 'my fav', 'I love this stuff', 'want.', 'ain’t nobody forgetting y’all fund the palestinian genocide', 'This shit sucks!! Came off my brows an hour into use', ""I wanted to like this stuff but it's so inconsistent, I have to use a clean spoolie just to brush out the thicker spots or product and ITS STICKY, slightly shiny. Not worth the $10 or whatever tbh""]"
6,51,https://www.tiktok.com/@/video/7310367161686461698/,hiddenvalleyranch,hiddenvalleyranch,Our serious flavor does most of the heavy lifting.,Promoted Music,7320.0,139.0,38.0,51000000.0,111,"['Caseoh work out routine', '#freenorthgaza', 'Collab with crocs is wild', 'Hidden valley the worst ranch one can buy. Tastes like straight chemicals. The seasoning packs are good though', 'alr chris paul relax', 'ranch is LIFEEE', 'What country is this ?', 'what has life came too working out and eating', 'I scrolled so fast that I thought I saw Anthony Mackie, had to come back and make sure just for it not be him 😒', 'why does he have to be african', 'Humanity revolt Oct 8th', 'i should call him', 'Zesty workout guy', 'There will be another ad in 4 swipes', 'Awesome', '@kinz you, but yours is top tier 😩🫶', 'I miss your ranch so much', 'first!!!!😂😂😂', 'Early', 'doritos?']"
7,10,https://www.tiktok.com/@/video/7325441724111670530/,wndr_museum,wndr_museum,Looking for things to do in Boston? Check out WNDR Museum.,,9449.0,1704.0,68.0,1300000.0,415,"['Just so folks know these “art installations” are a ripoff. Just a big warehouse with some projectors and screens', 'Pretty cool concept and the art was amazing. Go on a weekday before 5 for cheaper tickets and less of a crowd. Take your time to explore!', 'This on 🍄', 'I went today it was fun.', 'Does anyone know if this is open permanently?', 'I get this is fun for Instagramers etc. But what makes this a museum?', 'Taking my kids on Thursday during school vacation! So excited', 'But why is it temporarily closed', 'Ohhh I need to take my kid for his bday', 'So excited!!!', '@Corey Silva can we go', '@jazmin @ㅤwe go', 'Complete waste of time and money - nothing cool about it..', 'Waste of money and time', 'Do they play music at these art displays if so I’ll check it out', 'was booked for this thursday. yesterday they email me saying nope sorry we rescheduled you for next week same time due to a private event. i can’t do next week. won’t be buying again', 'Where??? In Boston', 'Just went yesterday! So cool and everyone was so nice', 'See yall tonight!!!!', 'I’m def going this weekend']"
8,47,https://www.tiktok.com/@/video/7338841198599130411/,parkerisfunny,Parker,I think she was just tired ,original sound - Parker,227900.0,9287.0,1599.0,1900000.0,7476,"['Is lily in the room with us?😂', 'My parents had an expired Lily too', 'She looking for lily too😂', 'lily: 👁️👅👁️', 'Does Lily know she’s Lily', 'maybe lily was the friends we made along the way', 'The lights are on but Lily is not home 🏡🥹🤍', 'Do you have to periodically mist her tongue so it doesn’t dry out', 'the smoothest brain there ever was', 'Lily is all vibes no thoughts', 'I think it went really well', 'sir that is an old webkinz', 'Me fr', 'Her batteries, check her batteries', 'she really said 🤪', 'Lily is like shush I’m trying to go to the light 😂', 'lilly the whole video: 👁️👅👁️', 'God bless Lily', 'Unbothered queen', 'The tongue 😂', 'lily said 🤪', 'Parker I think she deaf', 'She is so cute 😭❤️', 'lily is so done', '@Calleigh @Cresinda @Remi @MarissaCaray19 OMG ELLA', 'Yall don’t get her like i do', 'Lilly is perfect. Senior dogs are the best 😭', '@jayden is this Walmart Noah boat??????', '@jaxypelly14 do it with shadow', 'bless her heart', 'She really said “😛”', 'I too have an ancient NPC dog', 'She’s literally so cute 😭❤️', 'that “oh god” cracked me up', '@anna THE TONGUE', '@bemma frank', 'lily is just like me', '@Jaylee our baby axle', 'she just like me fr 😭😭😭', '@🐆 CLARA 🐆 BHAAHAHHA THE TONGUE']"
9,8,https://www.tiktok.com/@/video/7339128528383790368/,nnilarts,Nila 🐛,Now she looks like a baguette from above 💔🥖 ,original sound - <3,263700.0,91.0,340.0,3900000.0,3651,"['I swear she looks like Billie and Sydney Sweeny at the same time', 'Went from Billie to Sydney Sweeney', 'Am I the only one who sees nothing wrong?😭', 'Still looks amazing🤷\u200d♂️', 'Thank you', 'Is the angle in the room with us?', 'I thought that was Renee rapp', 'she looks like billie, renee and sydney at the same time', 'I though it was renee rap', 'she’s looking both left and right at the same time im baffled', 'I do this all the time', 'i see billie renee rap and sydney sweeney', 'she looks like me from that angle a little', 'It still looks so good!', 'Thanks!', 'sydney sweeney!', 'Why did it morph from Billie to Sydney Sweeney?! 😭😭😭', 'I literally cannot see an issue. it looks amazing', 'Thank you', 'still slays', 'why are the eyes moving or am I mad', 'Angles ☠️', 'I can see her looking left and right! This is a trippy optical illusion.', 'So many people have said this! I really don’t see it 😭', 'i see the angle but 90% of people who don’t draw won’t see it because it’s not that bad 😅', 'A lot of paintings only look good in certain lighting, and I meant paintings in museums!', 'The face looks slightly longer than it should be but dw girl it still looks great to non-artists 🙏', 'from the 1st angle it’s billie eilish and from the 2nd angle it’s sydney sweeney', 'The struggle is real😭💀', 'I just did this last night🤣', 'I painted Billie one time and for some reason it only looks like Billie upside down so that is how it has been hung, upside down', '@joline PLS I GOT JUMPSCAFED WHEN THE SONG SAID MY NAME BRUH', 'it went from renee rapp to billie eilish', 'Went from Billie to Renee rapp real quick lol', 'why’d I think this was Sabrina carpenter', 'looks like sabrina carpenter and billie', 'I DO THIS ALL TIME ITS INFURIATING 🤣', 'it looks SO good!!', 'Thank you!', 'I do it all the time 😭', 'I found a crochet girlie', 'Omg I keep realizing to late I’ve had my paper angled the entire time…', 'pit it above a door', 'Turns from Billie to Renee', 'I love it', 'Tysm', 'Looks good still']"
