video_id,author_username,video_description,hashtags,suggested_words,file_name
7294807570915626283,lincolnsmamaaa_,THIS ONE IS GONNA BE HARD TO BEAT!!! 12 will definitely come in handy for me🤓 #advent #adventcalendar #adventcalendar2023 #adventseries #series #relatable #pandora #pandorajewelry #asmr #satisfying #satisfyingvideo #asmrsounds #pandoracharms #pandorabracelet #giftideas #giftsforher #christmasgift #ideas #learnontiktok #pandoraadventcalendar #adventopening #fyp #viral #trending #holidaytiktok #jewelry  ,"['advent', 'adventcalendar', 'adventcalendar2023', 'adventseries', 'series', 'relatable', 'pandora', 'pandorajewelry', 'asmr', 'satisfying', 'satisfyingvideo', 'asmrsounds', 'pandoracharms', 'pandorabracelet', 'giftideas', 'giftsforher', 'christmasgift', 'ideas', 'learnontiktok', 'pandoraadventcalendar', 'adventopening', 'fyp', 'viral', 'trending', 'holidaytiktok', 'jewelry']",,Sec2Gr3_77777.csv
6988185257426128133,gma,Morgan Wallen is speaking out to address using a racial slur in a video that was leaked in February and the fallout that ensued. #news #morganwallen,"['news', 'morganwallen']","morgan wallen racist video, morgan wallen, morgan wallen saying the word, morgan wallen n the word, morgan wallen lil durk, Morgan Wallen Songs, morgan wallen interview, morgan wallen racist, morgan wallen gma, morganwallenthevoice",Sec2Gr3_77777.csv
7231173879845113131,getadjustednow,You should be doing THIS if you want to “grow taller” 🥹 Here are three stretches that can help you extend your spine and result to an overall height increase if done correctly.  How to grow taller? These back and spine stretches will help make you appear taller giving you much better posture 😎 Always consult a doctor before trying 🫶🏼 #NYCchiro #LearnOnTikTok #GetAdjustedNow #growtaller #growtallertips ,"['nycchiro', 'learnontiktok', 'getadjustednow', 'growtaller', 'growtallertips']","spine decompressing, how to get taller, stretch exercises, Posture, Stretch Exercises Tips, Back Stretches, Spine Training, Growth, Shoulder Stretches, exercise tips",Sec2Gr3_77217.csv
7297290457330158894,sammyobeidthem,Add “ceasefire” to your wishlist immediately. Please.   #standupcomedy #geography #history #historytok ,"['standupcomedy', 'geography', 'history', 'historytok']",,Sec2Gr3_77217.csv
7303271447374466346,icedvanillatriplelatte,Im so tired of this argument  #freepalestine #palestine #palestineisrael #freepalestine🇵🇸 #israel #freegaza #gaza #zionists #palestine🇵🇸 ,"['freepalestine', 'palestine', 'palestineisrael', 'freepalestine🇵🇸', 'israel', 'freegaza', 'gaza', 'zionists', 'palestine🇵🇸']","gaza to the sea, zionists explained",Sec2Gr3_77217.csv
7308783780297280800,realtalknewspalestine,To everyone who thinks it won't work: Don't think so much about the money you can get from Tiktok. A sponsor will donate money depending on the number of views and 100% of this will be donated to the Organization in my bio. #palestine #freepalestine #gaza #supportpalestine #supportgaza #fy #viral #fyp ,"['palestine', 'freepalestine', 'gaza', 'supportpalestine', 'supportgaza', 'fy', 'viral', 'fyp']","this speech is my recital, put your mouth on speaker, Put Speaker In Mouth, Talk Box Speaker On Mouth, Put The Speaker In Mouth, mouth over speaker, turn volume up and put speaker in mouth, Put Your Mouth On Speaker And Cover Your Ears, realtalknewspalestine",Sec2Gr3_77217.csv
7303962645068057889,metrouk,"Unlucky passengers were treated to an unwanted present after CCTV footage seems to show a man going to the toilet on a bus seat. Without a care in the world, he appears to pull his trousers down and squat at the back of the bus, with the driver later discovering the nasty present. If it couldn’t get any worse, the bus company has even revealed that he’d ridden past nine stops, so had so many chances to get off and go to the loo elsewhere. #fyp #viralvideo #viraltiktok #news #chinanews #shanghai #caughtoncamera #bus #transportnews #shockingmoments #worldnews #bustok ","['fyp', 'viralvideo', 'viraltiktok', 'news', 'chinanews', 'shanghai', 'caughtoncamera', 'bus', 'transportnews', 'shockingmoments', 'worldnews', 'bustok']",,Sec2Gr3_77217.csv
7305793185228410155,luvlainey11,forever bitter about the teachers who told me that i would sound smarter if i didnt have an accent. people exist. peoples have accents. be normal about it. #appalachia  #southern #hungergames #lucygraybaird #leftist #fyp ,"['appalachia', 'southern', 'hungergames', 'lucygraybaird', 'leftist', 'fyp']",,Sec2Gr3_77217.csv
6948100100992322821,cbsnews,A baby kangaroo is rescued from its mother’s pouch by a sanctuary after she was found dead on the side of the road in Australia. #news #australia,"['news', 'australia']","kangaroo pouch, Kangaroo, baby kangaroo, Animal, Wildlife Rescue, Australia Animals, kangaroo video, rescue, Pouch, australia",Sec2Gr3_77217.csv
7309337354563702062,teyassaadeh,"All proceeds go to Palestine  Purchase at:  @atxpartiesforpalestine on Instagram  Atx Palestinian designed and ran  Our first Event, which was on November 29th, raised nearly 4K in door fees and merch sales! we are donating the proceeds to @connectinghumanity_ who provides e-sims and other resources to Palestinians in Gaza. We sold 86% of our stock during that event,  60 shirts going for $30 each  Most of which is being donated and a percentage of which will be put towards producing the next batch! We will essentially triple the amount that we keep every drop and donate more to the cause  each time and continue that cycle. We are a very small group made up of (mostly) student volunteers!  #freepalestine🇵🇸❤️ #freepalestine #gaza #pali #istandwithpalestine #palestine #fromtherivertotheseapalastinewillbefree #vivavivapalestina ","['freepalestine🇵🇸❤️', 'freepalestine', 'gaza', 'pali', 'istandwithpalestine', 'palestine', 'fromtherivertotheseapalastinewillbefree', 'vivavivapalestina']",,Sec2Gr3_77217.csv
