video_id,video_keywords,video_description,suggested_words
7303352147972721962,"['hillary', 'clinton', 'email', 'interview', 'kim', 'jong', 'un', 'putin', 'president', 'trump', 'please', 'save', 'us', 'hillary', 'clinton', 'emails', 'two', 'ferns', 'hillary', 'clinton', 'im', 'joe', 'bidens', 'husband', 'hey', 'everyone', 'im', 'joe', ""biden's"", 'husband', 'bing', 'bing', 'trump', 'president', 'trump', 'see', 'please', 'say', 'us', 'history', 'moments', 'bing', 'bing', 'johnkennedy', 'joebiden', 'donaldtrump', 'hillaryclinton', 'uspolitics', 'politics']",Bing bing #johnkennedy #joebiden #donaldtrump #hillaryclinton #uspolitics #politics ,"hillary clinton email interview, kim jong un and putin, president trump please save us, hillary clinton emails, between two ferns hillary clinton, im joe bidens husband, hey everyone im joe biden's husband, bing bing trump, president trump if you see this please say this, us history moments"
7301947792623406382,"['jaime', 'schaefer', 'codepink', 'medea', 'benjamin', 'zionists', 'angry', 'jamie', 'schaefer', 'israel', 'zionist', 'melinda', 'strauss', 'zionist', 'visit', 'israel', 'zionists', 'explained', 'pleasure', 'accompanying', 'medea', 'walk', 'around', 'proisrael', 'rally', 'today', 'founder', 'codepinka', 'feminist', 'grassroots', 'organization', 'working', 'end', 'us', 'warfare', 'imperialism', 'support', 'peace', 'human', 'rights', 'initiatives', 'redirect', 'resources', 'healthcare', 'education', 'green', 'jobs', 'lifeaffirming', 'programs', 'lifeaffirming', 'programs', 'investments', 'social', 'programs', 'uplift', 'human', 'dignity', 'instead', 'tear', 'medea', 'one', 'courageous', 'wise', 'women', 'ive', 'ever', 'around', 'deserves', 'celebrated', 'offered', 'utmost', 'right', 'freedom', 'expression', 'respect', 'parks', 'public', 'spaces', 'washington', 'dc', 'yet', 'assaulted', 'things', 'women', 'wish', 'areutterly', 'vile', 'viscerally', 'appalling', 'two', 'women', 'nerve', 'wish', 'torture', 'death', 'position', 'human', 'understanding', 'peace', 'human', 'dignity', 'havent', 'seen', 'hate', 'life', 'held', 'medea', 'amongst', 'landscape', 'largely', 'mass', 'mindless', 'whitesettler', 'mob', 'mentality', 'later', 'told', 'afraid', 'one', 'might', 'actually', 'try', 'follow', 'kill', 'experienced', 'intensity', 'hatred', 'wow', 'speaks', 'intensity', 'hateful', 'propaganda', 'conditioning', 'takes', 'intensity', 'hateful', 'indoctrination', 'rally', 'nation', 'progenocide', 'zionist', 'endzionism', 'endzionistapartheid', 'israelisnotreal', 'freepalestine', 'savepalestine', 'viral', 'israelwarcrimes', 'israelwarcriminal', 'trending', 'shame', 'shameonisrael']","・・・ Had the pleasure of accompanying Medea to walk around the pro-Israel rally today. She is the founder of CODEPINK—a feminist grassroots organization working to end U.S. warfare and imperialism, support peace and human rights initiatives, and redirect resources into healthcare, education, green jobs and other life-affirming programs.  Life-affirming programs are investments in social programs that uplift human dignity instead of tear it down.  Medea is one of the most courageous and wise women I’ve ever been around. She deserves to be celebrated and offered the utmost right to freedom of expression and respect in parks and public spaces in Washington DC; yet she is being assaulted. The things these women wish on her are…utterly vile; viscerally appalling; these two women had the nerve to wish her torture and death for a position of human understanding, peace, human dignity. I haven’t seen such hate in my life. Held it down with Medea!! Amongst a landscape that was largely a mass of mindless white-settler mob mentality. Later she told me she was afraid that one of them might actually try to follow and kill her. We both had not experienced that intensity of hatred. Wow! It speaks to the intensity of the hateful propaganda they are being conditioning with. It takes this intensity of hateful indoctrination to rally a nation to pro-genocide. #zionist #endzionism #endzionistapartheid #israelisnotreal #freepalestine #savepalestine #viral #israelwarcrimes #israelwarcriminal #trending #shame #shameonisrael ","jaime schaefer, codepink, medea benjamin, zionists being angry, jamie schaefer israel, what are zionist, melinda strauss zionist, visit israel, zionists explained"
7304509572847521070,"['hunger', 'games', 'hunger', 'games', 'snow', 'hunger', 'games', 'finnick', 'odair', 'lucy', 'gray', 'coriolanus', 'snow', 'lucy', 'gray', 'baird', 'hunger', 'games:', 'ballad', 'songbirds', '&', 'snakes', 'sejanus', 'plinth', 'hunger', 'games', 'clips', 'bro', 'almost', 'succeeded', 'presidentsnow', 'coriolanussnow', 'finnickodair', 'deanhighbottom', 'sejanusplinth', 'lucygraybaird', 'thehungergames', 'katnisseverdeen', 'theballadofsongbirdsandsnakes', 'lucygray', 'mockingjay', 'catchingfire', 'peetamellark', 'tigrissnow', 'primroseeverdeen', 'jessup', 'finnick', 'haymitchabernathy']",bro almost succeeded too #presidentsnow #coriolanussnow #finnickodair #deanhighbottom #sejanusplinth #lucygraybaird #thehungergames #katnisseverdeen #theballadofsongbirdsandsnakes #lucygray #mockingjay #catchingfire #peetamellark #tigrissnow #primroseeverdeen #jessup #finnick #haymitchabernathy ,"the hunger games, Hunger Games, snow hunger games, finnick odair, Lucy Gray, coriolanus snow, lucy gray baird, The Hunger Games: The Ballad Of Songbirds & Snakes, sejanus plinth, The Hunger Games Clips"
7292807063544089899,"['disney', 'disney', 'card', 'game', 'maltese', 'dog', 'bring', 'pets', 'college', 'frat', 'dog', 'dog', 'videos', 'dog', 'tiktok', 'maltesers', 'dog', 'mom', 'funny', 'dog', 'lolo', 'went', 'crazy', 'college', 'years', 'dont', 'like', 'responsible', 'lifeoftheparty', 'maltesedog', 'dogincollege', 'collegedog', 'collegedogmom']",Lolo went crazy during his college years. Don’t be like him. Be responsible. #lifeoftheparty #maltesedog #dogincollege #collegedog #collegedogmom ,"Disney, disney 100 card game, Maltese Dog, can you bring pets to college, Frat Dog, dog videos, Dog Of TikTok, Maltesers, Dog Mom, funny dog"
7304507498411642143,"['th', 'hunger', 'games', 'destroyed', 'hunger', 'games', 'panem', 'plus', 'th', 'hunger', 'games', 'hunger', 'games', 'songbirds', 'snakes', 'hunger', 'games', 'stars', 'ballad', 'songbirds', 'snakes', 'panem+', 'panem', 'hunger', 'games', 'lucy', 'gray', 'im', 'hoping', 'man', 'peeta', 'wins', 'stars', 'hungergames', 'theballadofsongbirdsandsnakes', 'tbosas', 'katnisseverdeen', 'lucygraybaird', 'peetamellark']",Im hoping my man peeta wins All Stars 🩷 #hungergames #theballadofsongbirdsandsnakes #tbosas #katnisseverdeen #lucygraybaird #peetamellark ,"why was the 10th hunger games destroyed, hunger games, what is panem plus, 10th hunger games, hunger games songbirds and snakes, hunger games all stars, ballad of songbirds and snakes, what is panem+, panem hunger games, Lucy Gray"
7289144616002014506,"['chris', 'olsen', 'taylor', 'swift', 'beyonce', 'husband', 'celebrity', 'murder', 'mystery', 'game', 'murder', 'mystery', 'movie', 'celebrity', 'elizabeth', 'olsen', 'chris', 'olsen', 'chris', 'olsen', 'meets', 'harry', 'styles', 'beyonce', 'chris', 'olsen', 'delivering', 'coffee', 'love', 'like', 'friend', 'patrick', 'johnson', 'good', 'murdermystery', 'taylorswift', 'beyonce', 'harrystyles', 'selenagomez', 'kanyewest', 'joke', 'edsheeran', 'chrisolsen']",“I LOVE HIM… LIKE A FRIEND” @Patrick Johnson this was good #murdermystery #taylorswift #beyonce #harrystyles #selenagomez #kanyewest #joke #edsheeran #chrisolsen ,"chris olsen, Taylor Swift, beyonce husband, celebrity murder mystery game, Murder Mystery Movie, celebrity, Elizabeth Olsen And Chris Olsen, Chris Olsen Meets Harry Styles, beyonce, chris olsen delivering coffee"
7303336968249675050,"['homework', 'guy', 'praying', 'trump', 'president', 'trump', 'please', 'save', 'us', 'homework', 'excuses', 'donald', 'trump', 'drinker', 'trump', 'speech', 'abdu', 'shane', 'gillis', 'trump', 'see', 'please', 'save', 'us', 'trump', 'lady', 'meme', 'real', 'women', 'vote', 'trump', 'president', 'trump']",president trump 🥺,"Doing Homework, guy praying to trump, president trump please save us, homework excuses, donald trump drinker, trump speech after abdu shane gillis, trump if you see this please save us, trump 2021 lady meme, real women vote trump"
7307108677889117482,"['message', 'president', 'snow', 'wow', 'strong', 'message', 'burn', 'burn', 'us', 'hunger', 'games', 'president', 'snow', 'katniss', 'everdeen', 'strong', 'message', 'hunger', 'games', 'songbirds', 'snakes', 'snow', 'hunger', 'games', 'anesthesia', 'funny', 'video', 'apparently', 'anesthesia', 'turns', 'katniss', 'hungergames', 'mockingjay', 'katniss', 'katnisseverdeen', 'balladofsongbirdsandsnakes', 'theballadofsongbirdsandsnakes', 'presidentsnow', 'surgery', 'anesthesia', 'funny', 'weird', 'jenniferlawrence', 'moviequotes', 'acting', 'catchingfire']",Apparently anesthesia turns me into Katniss #hungergames #mockingjay #katniss #katnisseverdeen #balladofsongbirdsandsnakes #theballadofsongbirdsandsnakes #presidentsnow #surgery #anesthesia #funny #weird #jenniferlawrence #moviequotes #acting #catchingfire ,"this is a message for president snow, wow this is a strong message, if we burn you burn with us, Hunger Games, president snow, Katniss Everdeen, this is a strong message, hunger games songbirds and snakes, snow hunger games, anesthesia funny video"
7292575587179203882,"['duet', 'new', 'york', 'comic', 'con', 'nycc', 'umber', 'ashes', 'made', 'depth', 'video', 'explaining', 'like', 'said', 'cool', 'costume', 'stop', 'hating', 'others', 'win', 'saying', 'mimic', 'guy', 'robbed', 'newyorkcitycomiccon', 'mimicdnd', 'soreloser']","#duet with @New York Comic Con #NYCC @Umber and Ashes made a more in depth video explaining. Like i said, cool costume, but stop hating on the others who did win and saying “mimic guy was robbed” #newyorkcitycomiccon #mimicdnd #soreloser ",
7289960009230765342,"['disney', 'text', 'tv', 'disney', 'apple', 'tv', 'apple', 'tv', 'text', 'apple', 'tv', 'touch', 'screen', 'soy', 'tan', 'petit', 'text', 'tv', 'roku', 'disney', 'card', 'game', 'notifications', 'silenced', 'whoever', 'came', 'needs', 'million', 'years', 'jail', 'theonlyfamousbrian', 'relatable']",Whoever came up with this needs a million years in jail😒😂 #theonlyfamousbrian #relatable ,"disney 100, How To Text On Tv, disney, Apple Tv, apple tv text, apple tv touch screen, soy tan petit, How To Text On Tv On Roku, disney 100 card game, notifications silenced"
