,video_id,Transcription,Date,Length,Original Comparison,headline_sim,abstract_sim,leadpara_sim,top_cosine_sim,top_headline,top_headline_fromtype,top_cosine_sim_keywords,top_headline_keywords,transcript_keywords,top_nyt_article_keywords
0,7297432141485444394," The Zionist argument we will address today is Hamas is a terrorist organization. As of 1997, the American government listed Hamas as a terrorist organization. Alongside that, the definition of terrorism is So, yeah, by really any definition, Hamas is a terrorist organization. But according to America's own legal definition of",2023-11-03,51,hashtag,0.5929881,0.58697295,0.58928853,0.5929881,"Many are killed near a Gaza hospital, its chief says, in a strike the Israelis say was aimed at Hamas.",headline,0.66142267,"In High-Stakes Speech, Hezbollah’s Leader Stops Short of Call to Expand Hamas War","zionist argument address today hamas terrorist organization. , american government listed hamas terrorist organization. alongside that, definition terrorism so, yeah, really definition, hamas terrorist organization. according america's legal definition","hezbollah nasrallah hassan israel hamas palestinians gaza strip war armed conflicts in high-stakes speech, hezbollah’s leader stops short call expand hamas war"
1,7298819910145232174," I think I didn't see you, there were flashing lights At least I had the decency to keep my lights I decide on the room, both on my hips and thighs And I whispered sighs, hold on, I think about John",2023-11-07,41,nyt,0.23087975,0.20395762,0.34135935,0.34135935,A Knock at the Door,lead_paragraph,0.23926038,Taking Note as Dance Reflections Takes a Pause,"think see you, flashing lights least decency keep lights decide room, hips thighs whispered sighs, hold on, think john",dancing la horde dance group vienne gisele charmatz boris chamblas dimitri ouramdane rachid taking note dance reflections takes pause
2,7294328136831962398, I wanna be where the fuck my blunt where the fuck my to figure out what she's talking inside do it all and I'm a fine skinny,2023-10-26,27,nyt,0.26667258,0.23959038,0.25871542,0.26667258,What’s in Our Queue? ‘Talk to Me’ and More,headline,0.18557262,How Hard Is It to Wake Up in the Morning?,wanna fuck blunt fuck figure talking inside i'm fine skinny,how hard is it wake up morning?
3,7306664718050102570," So it has come to my attention and to a lot of older k-pop stans' attention that the newer generation doesn't know who TVXQ is or the powerhouse vocals that Changmin has. Let me tell you something about Changmin. Changmin can out sing any 4th Jin, 3rd Jin, 5th Jin, you name it. He can out sing them. You don't believe me? Let me show you. Let me show you.",2023-11-28,70,nyt,0.507899,0.28471094,0.5491424,0.5491424,"Jung Kook, BTS and English Language K-Pop",lead_paragraph,0.54025877,"Jung Kook, BTS and English Language K-Pop","come attention lot older k-pop stans' attention newer generation know tvxq powerhouse vocals changmin has. let tell something changmin. changmin sing th jin, rd jin, th jin, name it. sing them. believe me? let show you. let show you.","audio neutral informative k pop bts music group jung kook 1997 english language jung kook, bts english language k-pop"
4,7298818526658235694," I think I didn't see you, there were flashing lights At least I had the decency to keep on light Out of sight, only fumbles from my hips and thighs And I whispered sighs, oh I think about jumping, off a very tall something Just to see you come running, and say the one thing I've been wanting But no, flashing lights",2023-11-07,62,nyt,0.27036756,0.226697,0.29622957,0.29622957,A Knock at the Door,lead_paragraph,0.26569235,"Rice Krispie Treats in a Plastic Tube, and Other Dances","think see you, flashing lights least decency keep light sight, fumbles hips thighs whispered sighs, oh think jumping, tall something see come running, say one thing i've wanting no, flashing lights","dancing chocolate factory the ellsworth michelle rice krispie treats plastic tube, other dances"
5,7295906621237185838," Now that we don't talk I called my mom, she said that it was for the best Remind myself the more I gave you, won't be last I can't be your friend, so I pay the price of what I lost And what it cost Now that we don't talk",2023-10-30,50,nyt,0.24383265,0.29490066,0.3332629,0.3332629,My Dying Mom Confessed to Euthanizing My Grandma. Should I Tell My Family?,lead_paragraph,0.2260395,"Hearing Aids Are More Affordable, and Perhaps More Needed, Than Ever","talk called mom, said best remind gave you, last can't friend, pay price lost cost talk","hearing aids ears hearing research regulation deregulation industry elderly dementia food drug administration united states hearing aids are more affordable, perhaps more needed, than ever"
6,7246887287114435886," When I drank that whole glass of wine, I had to do that like three times. I was like, let's go again, let's go again. And I had like, you know, the craziest poop of my life that day. It was gonna be grape juice, but the non-alcoholic wine, which still had like 0.02% alcohol or something, looked more realistic. I was pretty excited to do it though, that was really fun.",2023-06-20,72,nyt,0.22652581,0.30429798,0.29666296,0.30429798,My Last Shopping List for Him,abstract,0.29270753,"They Talked About Age, Yes. They Talked Even More About Fine Wine.","drank whole glass wine, like three times. like, let's go again, let's go again. like, know, craziest poop life day. gonna grape juice, non-alcoholic wine, still like .% alcohol something, looked realistic. pretty excited though, really fun.","weddings engagements they talked about age, yes. they talked even more about fine wine."
7,7289889564401978670," No, because I think I'm actually living my worst nightmare. So about three weeks ago, give or take, I attended Paris Fashion Week. I left early. I left maybe 48 hours before the bedbug news. So, whoo! Thank God I avoided that one. I've awoken this morning to potentially the worst sight I've ever seen and feeling. Foot warning. Don't look at my hairy legs. I have about 20 bites on one foot. They've appeared out of nowhere. At the moment, I don't see any on the rest of my body. Although I do feel I am now getting that psychosomatic thing where everything itches. Please say it ain't so. It ain't the",2023-10-14,113,nyt,0.33036292,0.277791,0.35477617,0.35477617,Why We’re So Obsessed With ‘Mastering’ Our Thighs,lead_paragraph,0.34432364,"The Problem With Pests May Be in Parisian Heads, Not Their Beds","no, think i'm actually living worst nightmare. three weeks ago, give take, attended paris fashion week. left early. left maybe hours bedbug news. so, whoo! thank god avoided one. i've awoken morning potentially worst sight i've ever seen feeling. foot warning. look hairy legs. bites one foot. they've appeared nowhere. moment, see rest body. although feel getting psychosomatic thing everything itches. please say ain't so. ain't","bedbugs france paris france pesticides anxiety stress luggage packing the problem with pests may be parisian heads, not their beds"
8,7293031882474736939," You know, as a Romani person, I often hear from both sides of the political spectrum that us Romani people need a homeland. On one side we have, y'all are indigenous to South Asia, you don't belong here. On the other, y'all are indigenous to South Asia, you don't belong here. Both are equally harmful. This idea comes from the fact that yes, Romani people, we come from South Asia.",2023-10-23,70,hashtag,0.28637514,0.34330988,0.385158,0.385158,The True Story Behind ‘Killers of the Flower Moon’ Is Being Erased From Oklahoma Classrooms,lead_paragraph,0.34131193,A Hindu Goddess Festival Where Indian Progressivism Is Alive and Well,"know, romani person, often hear sides political spectrum us romani people need homeland. one side have, y'all indigenous south asia, belong here. other, y'all indigenous south asia, belong here. equally harmful. idea comes fact yes, romani people, come south asia.",hinduism right wing extremism alt right women girls a hindu goddess festival where indian progressivism is alive well
9,7292366417037364510," If he only knew the you that we know And that silly little creature isn't wearing his ring And she doesn't play piano, or dance, or sing No, she doesn't compare But she still breathes air Who cares? Unimportant Overrated Overblown If only he could see how special you can be If he only knew the you that we know",2023-10-21,60,nyt,0.26076105,0.31867433,0.30393875,0.31867433,Thurston Moore’s Electrifying History Lesson,abstract,0.27002814,Review: Ballet Theater Revisits Its Past With a Hit and Two Misses,"knew know silly little creature wearing ring play piano, dance, sing no, compare still breathes air cares? unimportant overrated overblown could see special knew know",dancing american ballet theater brandt skylar jaffe susan ratmansky alexei royal calvin iii shevchenko christine teuscher devon piano concerto no 1 ballet roxander jake petite mort ballet etudes ballet review: ballet theater revisits its past with hit two misses
