,video_id,video_date,video_keywords,nyt_keywords,nyt_headline,cosine_sim
87,7297584628838223109,2023-11-04,"['advent', 'calendars', 'unbox', 'ultaadventcalendar', 'ultabeauty', 'beautyadventcalendar', 'adventcalendar']","['our', 'favorite', 'advent', 'calendars']",Our Favorite Advent Calendars,0.65937245
168,7304722189176048939,2023-11-23,"['thanksgiving', 'tradition', 'shoutoutot', 'basketball', 'thanksgiving']","['thanksgiving', 'dinner']",Thanksgiving Dinner,0.7150912
236,7307726995151179054,2023-12-01,"['broadway', 'junction', 'th', 'street', 'nyc', 'broadway', 'junction', 'nyc', 'gentrification', 'nyc', 'nyc', 'subway', 'new', 'york', 'city', 'subway', 'subway', 'new', 'york', 'nyc', 'gentrifiers', 'subway', 'nyc', 'subway', 'lines', 'imma', 'show', 'u', 'around']","['new', 'york', 'city', 'subways', 'assaults', 'bedford', 'stuyvesant', 'brooklyn', 'ny', 'shot', 'subway', 'train', 'brooklyn', 'during', 'evening', 'rush,', 'police', 'say']","2 Shot on Subway Train in Brooklyn During Evening Rush, Police Say",0.7059333
303,7304755085349784875,2023-11-23,"['best', 'mexican', 'thanksgiving', 'turkey', 'thanksgiving', 'mexican', 'turkey']","['thanksgiving', 'dinner']",Thanksgiving Dinner,0.62951565
409,7303271447374466346,2023-11-19,"['gaza', 'sea', 'zionists', 'explained', 'im', 'tired', 'argument', 'freepalestine', 'palestine', 'palestineisrael', 'freepalestine', 'israel', 'freegaza', 'gaza', 'zionists', 'palestine']","['zionism', 'israel', 'gaza', 'war', '2023', 'anti', 'semitism', 'palestinians', 'jews', 'judaism', 'anti', 'defamation', 'league', 'greenblatt', 'jonathan', '1970', 'hamas', 'israel', 'the', 'question', 'anti-zionism', 'antisemitism']",The Question of Anti-Zionism and Antisemitism,0.765604
599,7306521067537993006,2023-11-28,"['notice', 'mainly', 'ggs', 'redvelvet', 'nayeon', 'loona', 'twice', 'bts', 'girlsgeneration', 'fromis_', 'newjeans', 'shinee', 'kpop']","['audio', 'neutral', 'informative', 'k', 'pop', 'bts', 'music', 'group', 'jung', 'kook', '1997', 'english', 'language', 'jung', 'kook,', 'bts', 'english', 'language', 'k-pop']","Jung Kook, BTS and English Language K-Pop",0.6685324
644,7303736121735843118,2023-11-20,"['jason', 'schwartzman', 'sejanus', 'hunger', 'games', 'snow', 'falls', 'top', 'flickerman', 'hunger', 'games', 'whistle', 'flo', 'rida', 'jason', 'schwartzman', 'hunger', 'games', 'snow', 'hunger', 'games', 'hunger', 'games', 'songbirds', 'snakes', 'coriolanus', 'snow', 'finnick', 'hunger', 'games', 'favs', 'bosas', 'hungergames']","['movies', 'the', 'hunger', 'games', 'the', 'ballad', 'songbirds', 'snakes', 'movie', 'the', 'hunger', 'games', 'movie', 'lawrence', 'francis', '1971', 'collins', 'suzanne', '1962', 'blyth', 'tom', 'zegler', 'rachel', '2001', '‘the', 'hunger', 'games’', 'is', 'back.', 'here’s', 'what', 'you', 'need', 'know.']",‘The Hunger Games’ Is Back. Here’s What You Need to Know.,0.74750173
889,7305130986788916510,2023-11-24,"['day', 'ceasefire', 'yet', 'theyre', 'still', 'bmbing', 'gaza', 'youre', 'pro', 'isnotreal', 'youre', 'actually', 'sick', 'freepalestine']","['a', 'cease-fire', 'gaza', 'remains', 'flux']",A Cease-Fire in Gaza Remains in Flux,0.6384942
921,7304686451965316395,2023-11-23,"['turkey', 'trot', 'families', 'rise', 'turkeytrot', 'happythanksgiving', 'thanksgiving', 'thanksgiving', 'krun', 'happythanksgiving']","['internal', 'storyline', 'thanksgiving', 'day', 'a', 'thanksgiving', 'pep', 'talk']",A Thanksgiving Pep Talk,0.6921434
998,7306633031006129438,2023-11-28,"['jimmy', 'carter', 'young', 'jimmy', 'rosalynn', 'carter', 'hospice', 'jimmy', 'carter', 'hospice', 'jimmycarter', 'jimmy', 'rosalynn', 'carter', 'young', 'jimmy', 'carter', 'rosalynn', 'cnn', 'jimmy', 'carter', 'jimmy', 'carter', 'presidency', 'jimmy', 'carter', 'palestine', 'greenscreenvideo', 'love', 'jimmy', 'carter', 'roslynn', 'carter', 'potus']","['united', 'states', 'politics', 'government', 'funerals', 'memorials', 'carter', 'jimmy', 'carter', 'rosalynn', 'americans', 'glimpse', 'jimmy', 'carter’s', 'frailty', 'his', 'resolve']",Americans Glimpse Jimmy Carter’s Frailty and His Resolve,0.72772413
1100,7302691721605827882,2023-11-18,"['tom', 'blyth', 'tom', 'blyth', 'edit', 'tom', 'blyth', 'sexuality', 'rachel', 'zegler', 'tom', 'blythe', 'girlfriend', 'tom', 'blyth', 'rachel', 'zelger', 'tom', 'blyth', 'interview', 'cornelius', 'snow', 'edit', 'snow', 'hunger', 'games', 'hunger', 'games', 'hes', 'ughhh', 'especially', 'watching', 'movie', 'tomblyth', 'donaldsutherland', 'youngsnow', 'jenniferlawrence', 'theballadofsongbirdsandsnakes', 'tbosas', 'bosasedit', 'thedit', 'thg', 'thehungergames', 'hungergames', 'theballadofsongbirdsandsnakesedit', 'thehungergamesedit', 'jennifer', 'lucygreybaird', 'lucygreybairdedit', 'coryosnow', 'coriolanussnow', 'coriolanussnowedit', 'snowbaird', 'hunterschafer', 'tigris', 'coriolanussnow', 'presidentsnow', 'katnisseverdeen', 'rachelzegler', 'snakes', 'mockingjay', 'peetamellark', 'catchingfire', 'snowwhite', 'galehawthorne', 'hunterschafer', 'euphoria', 'amc', 'movie', 'panem', 'tribute', 'youngpresidentsnow', 'thhungergames', 'cantcatchme']","['movies', 'the', 'hunger', 'games', 'the', 'ballad', 'songbirds', 'snakes', 'movie', 'the', 'hunger', 'games', 'movie', 'lawrence', 'francis', '1971', 'collins', 'suzanne', '1962', 'blyth', 'tom', 'zegler', 'rachel', '2001', '‘the', 'hunger', 'games’', 'is', 'back.', 'here’s', 'what', 'you', 'need', 'know.']",‘The Hunger Games’ Is Back. Here’s What You Need to Know.,0.63434607
1125,7294050397147139370,2023-10-25,"['want', 'taeyeon', 'special', 'want', 'free', 'since', 'yall', 'wont', 'give', 'another', 'album', 'smentertainment', 'kpop', 'asinglebeomgyu', 'kpopidol']","['blackpink', 'limits', 'k-pop', 'maximalism']",Blackpink and the Limits of K-Pop Maximalism,0.6126723
1216,7298840941484379438,2023-11-07,"['used', 'create', 'cultural', 'content', 'shes', 'documenting', 'war', 'gaza', 'israel', 'gazaunderattack', 'palestine']","['israel', 'gaza', 'war', '2023', 'tlaib', 'rashida', 'gaza', 'strip', 'palestinians', 'hamas', 'west', 'bank', 'jean', 'pierre', 'karine', 'the', 'white', 'house', 'condemns', 'rashida', 'tlaib’s', 'embrace', 'phrase', '‘river', 'sea.’']",The White House condemns Rashida Tlaib’s embrace of the phrase ‘river to the sea.’,0.6782357
1222,7301909502301965610,2023-11-15,"['first', 'hunger', 'games', 'suzanne', 'collins', 'ballad', 'songbirds', 'snakes', 'first', 'hunger', 'games', 'explained', 'hunger', 'games', 'hunger', 'games', 'hunger', 'games', 'books', 'ballad', 'songbirds', 'snakes', 'suzanne', 'collins', 'ballad', 'songbirds', 'snakes', 'suzanne', 'president', 'snow', 'ill', 'never', 'shut', 'book', 'hope', 'finds', 'right', 'people', 'balladofsongbirdsandsnakes', 'presidentcoriolanussnow', 'thgedits', 'suzannecollins']","['movies', 'zegler', 'rachel', '2001', 'blyth', 'tom', 'lawrence', 'francis', '1971', 'the', 'hunger', 'games', 'the', 'ballad', 'songbirds', 'snakes', 'movie', '‘the', 'hunger', 'games:', 'the', 'ballad', 'songbirds', '&', 'snakes’', 'review:', 'fallen', 'snow']",‘The Hunger Games: The Ballad of Songbirds & Snakes’ Review: Fallen Snow,0.7357443
1225,7300592134774590763,2023-11-12,"['tom', 'blyth', 'rachel', 'zegler', 'hunger', 'games', 'songbirds', 'snakes', 'hunger', 'games', 'tom', 'blyth', 'edit', 'peter', 'dinklage', 'hunter', 'schafer', 'rachel', 'zegler', 'snow', 'white', 'snow', 'hunger', 'games', 'tigris', 'hunger', 'games', 'games', 'back', 'baby', 'balladofsongbirdsandsnakes', 'theaters', 'november', 'th', 'hungergames', 'katnisseverdeen', 'lionsgatepartner']","['movies', 'zegler', 'rachel', '2001', 'blyth', 'tom', 'lawrence', 'francis', '1971', 'the', 'hunger', 'games', 'the', 'ballad', 'songbirds', 'snakes', 'movie', '‘the', 'hunger', 'games:', 'the', 'ballad', 'songbirds', '&', 'snakes’', 'review:', 'fallen', 'snow']",‘The Hunger Games: The Ballad of Songbirds & Snakes’ Review: Fallen Snow,0.6577689
1230,7303680416999869739,2023-11-20,"['lucy', 'gray', 'happened', 'lucy', 'gray', 'maude', 'ivory', 'hunger', 'games', 'songbirds', 'snakes', 'maude', 'ivory', 'hunger', 'games', 'hunger', 'games', 'hunger', 'games', 'ballad', 'songbirds', 'tigris', 'hunger', 'games', 'snow', 'hunger', 'games', 'lucy', 'gray', 'go', 'like', 'could', 'shes', 'right', 'age', 'mockingjay', 'pin', 'maybe', 'im', 'delulu', 'came', 'back', 'years', 'later', 'balladofsongbirdsandsnakes', 'hungergames', 'lucygray', 'katniss']","['movies', 'the', 'hunger', 'games', 'the', 'ballad', 'songbirds', 'snakes', 'movie', 'the', 'hunger', 'games', 'movie', 'lawrence', 'francis', '1971', 'collins', 'suzanne', '1962', 'blyth', 'tom', 'zegler', 'rachel', '2001', '‘the', 'hunger', 'games’', 'is', 'back.', 'here’s', 'what', 'you', 'need', 'know.']",‘The Hunger Games’ Is Back. Here’s What You Need to Know.,0.6622054
1260,7284381299748408582,2023-09-29,"['nyc', 'new', 'york', 'city', 'nyc', 'city', 'new', 'york', 'apartment', 'nyc', 'new', 'york', 'city', 'apartment', 'apartments', 'nyc', 'apartment', 'new', 'york', 'nyc', 'beautiful', 'apartment', 'tiny', 'apartment', 'nyc', 'like', 'feel', 'like', 'end', 'school', 'friday', 'head', 'home', 'apartment', 'city', 'much', 'offer', 'feeling', 'wonder', 'possiblity', 'child', 'amplified', 'think', 'realize', 'lucky']","['real', 'estate', 'housing', 'residential', 'yorkville', 'manhattan', 'ny', 'red', 'hook', 'brooklyn', 'ny', 'east', 'harlem', 'manhattan', 'ny', 'homes', 'sale', 'manhattan', 'brooklyn']",Homes for Sale in Manhattan and Brooklyn,0.7171357
1287,7304781749723090206,2023-11-23,"['absolutely', 'feral', 'thanksgiving']","['thanksgiving', 'dinner']",Thanksgiving Dinner,0.6152893
1356,7306664718050102570,2023-11-28,"['dont', 'even', 'get', 'start', 'vxq', 'jyj', 'debacle', 'kpop', 'smentertainment', 'tvxq', 'maxchangmin', 'kpopstan', 'mamaawards', 'bts']","['audio', 'neutral', 'informative', 'k', 'pop', 'bts', 'music', 'group', 'jung', 'kook', '1997', 'english', 'language', 'jung', 'kook,', 'bts', 'english', 'language', 'k-pop']","Jung Kook, BTS and English Language K-Pop",0.614995
