,video_id,video_date,video_keywords,nyt_keywords,nyt_headline,cosine_sim
8,7307454332465728810,2023-11-30,"['replying', 'killercatmay', 'got', 'yall', 'kpop', 'jyp', 'wondergirls']","['audio', 'neutral', 'informative', 'k', 'pop', 'bts', 'music', 'group', 'jung', 'kook', '1997', 'english', 'language', 'jung', 'kook,', 'bts', 'english', 'language', 'k-pop']","Jung Kook, BTS and English Language K-Pop",0.5744533
29,7309373007888387374,2023-12-06,"['starbuck', 'loses', 'billion', 'starbucks', 'starbucks', 'losing', 'money', 'raymonte', 'starbucks', 'lauren', 'giraldo', 'starbucks', 'dropping', 'starbucks', 'cup', 'dropping', 'starbucks', 'starbucks', 'cups', 'viral', 'starbucks', 'drink', 'starbucks', 'drinks', 'greenscreen']","['coffeehouses', 'organized', 'labor', 'labor', 'jobs', 'starbucks', 'workers', 'united', 'workers', 'united', 'starbucks', 'corporation', 'starbucks', 'tells', 'union', 'it', 'wants', 'resume', 'contract', 'talks']",Starbucks Tells Union It Wants to Resume Contract Talks,0.5929727
87,7297584628838223109,2023-11-04,"['advent', 'calendars', 'unbox', 'ultaadventcalendar', 'ultabeauty', 'beautyadventcalendar', 'adventcalendar']","['our', 'favorite', 'advent', 'calendars']",Our Favorite Advent Calendars,0.65937245
99,7308565273932500254,2023-12-03,"['christmas', 'wish', 'list', 'christmas', 'list', 'wish', 'list', 'want', 'christmas', 'christmas', 'presents', 'christmas', 'christmas', 'list', 'christmas', 'christmas', 'count', 'wishlist', 'ideas', 'christmas', 'knowi', 'know', 'trend', 'short', 'bored', 'funny']","['movies', 'a', 'christmas', 'story', 'movie', 'bad', 'santa', 'movie', 'carol', 'movie', 'christmas', 'connecticut', 'movie', 'die', 'hard', 'movie', 'elf', 'movie', 'eyes', 'wide', 'shut', 'movie', 'gremlins', 'movie', 'it', 'wonderful', 'life', 'movie', 'the', 'muppet', 'christmas', 'carol', 'movie', 'the', 'nightmare', 'before', 'christmas', 'movie', 'kiss', 'kiss', 'bang', 'bang', 'movie', 'christmas', '‘it’s', 'wonderful', 'life,’', '‘die', 'hard’', 'other', 'classic', 'christmas', 'movies']","‘It’s a Wonderful Life,’ ‘Die Hard’ and Other Classic Christmas Movies",0.5581864
147,7305488186581486890,2023-11-25,"['musical', 'theatre', 'performance', 'musical', 'stage', 'performance', 'dont', 'need', 'roof', 'comedy', 'theatre', 'musical', 'theatre', 'cover', 'theater', 'acting', 'making', 'whole', 'theater', 'laugh', 'people', 'laughing', 'serious', 'situations', 'class', 'guys', 'youre', 'making', 'laugh', 'musicaltheatre', 'worstperson', 'theatre', 'performanceclass', 'performance']","['theater', 'theater', 'off', 'broadway', 'new', 'york', 'city', 'circuses', 'theater', 'broadway', 'christmas', 'parades', 'theater', 'see', 'n.y.c.', 'this', 'holiday', 'season']",Theater to See in N.Y.C. This Holiday Season,0.57152843
162,7304030038553300254,2023-11-21,"['thanksgivings', 'coo', 'christmas', 'hehehe']","['thanksgiving', 'dinner']",Thanksgiving Dinner,0.56602514
168,7304722189176048939,2023-11-23,"['thanksgiving', 'tradition', 'shoutoutot', 'basketball', 'thanksgiving']","['thanksgiving', 'dinner']",Thanksgiving Dinner,0.7150912
234,7306552396723916074,2023-11-28,"['serious', 'would', 'think', 'finna', 'actually', 'debut', 'kpop', 'jyp', 'sm', 'yg', 'hybe', 'cube', 'blackpink', 'bts', 'twice', 'straykids', 'gidle']","['audio', 'neutral', 'informative', 'k', 'pop', 'bts', 'music', 'group', 'jung', 'kook', '1997', 'english', 'language', 'jung', 'kook,', 'bts', 'english', 'language', 'k-pop']","Jung Kook, BTS and English Language K-Pop",0.5809327
236,7307726995151179054,2023-12-01,"['broadway', 'junction', 'th', 'street', 'nyc', 'broadway', 'junction', 'nyc', 'gentrification', 'nyc', 'nyc', 'subway', 'new', 'york', 'city', 'subway', 'subway', 'new', 'york', 'nyc', 'gentrifiers', 'subway', 'nyc', 'subway', 'lines', 'imma', 'show', 'u', 'around']","['new', 'york', 'city', 'subways', 'assaults', 'bedford', 'stuyvesant', 'brooklyn', 'ny', 'shot', 'subway', 'train', 'brooklyn', 'during', 'evening', 'rush,', 'police', 'say']","2 Shot on Subway Train in Brooklyn During Evening Rush, Police Say",0.7059333
244,7306650853216406830,2023-11-28,"['market', 'macys', 'store', 'shopping', 'holiday', 'season', 'even', 'hosting', 'instore', 'events', 'season', 'long', 'dont', 'forget', 'grab', 'something', 'special', 'sponsored', 'marketbymacys', 'macysstylecrew']","['shopping', 'retail', 'black', 'friday', 'cyber', 'monday', 'shopping', 'christmas', 'holidays', 'special', 'occasions', 'prices', 'fares', 'fees', 'rates', 'inflation', 'economics', 'company', 'reports', 'consumer', 'behavior', 'united', 'states', 'is', 'holiday', 'shopping', 'season', 'going', 'be', 'success?', 'the', 'answer', 'is', 'murky.']",Is the Holiday Shopping Season Going to Be a Success? The Answer Is Murky.,0.5573312
274,7308223637524319530,2023-12-02,"['sherlock', 'shinee', 'oh', ""i'm"", 'curious', 'yeah', 'shinee', 'mma', 'taemin', 'curious', 'shinee', 'jonghyun', 'oh', ""i'm"", 'curious', 'oh', 'im', 'curious', 'shinee', 'sherlock', 'shinee', 'mma', 'shinee', 'band', 'shinee_official', 'taemin', 'casually', 'taking', 'foot', 'long', 'steps', 'taemin', 'shinee', 'mma', 'sherlock', 'kpop', 'ndgen']","['audio', 'neutral', 'informative', 'k', 'pop', 'bts', 'music', 'group', 'jung', 'kook', '1997', 'english', 'language', 'jung', 'kook,', 'bts', 'english', 'language', 'k-pop']","Jung Kook, BTS and English Language K-Pop",0.5805802
298,7307278494868851999,2023-11-30,"['woongki', 'woongki', 'seunghwan', 'hyeongjun', 'cravity', 'woong', 'ki', 'hyeongjun', 'cravity', 'band', 'boys', 'planet', 'hyeongjun', 'edits', 'kim', 'ji', 'woong', '-', 'boys', 'planet', 'cravityofficial', 'kpop', 'edits', 'woongki', 'adorable', 'episode', 'woongki', 'hyeongjun', 'cravity', 'boysplanet', 'kpop', 'kpopedit']","['audio', 'neutral', 'informative', 'k', 'pop', 'bts', 'music', 'group', 'jung', 'kook', '1997', 'english', 'language', 'jung', 'kook,', 'bts', 'english', 'language', 'k-pop']","Jung Kook, BTS and English Language K-Pop",0.57137537
303,7304755085349784875,2023-11-23,"['best', 'mexican', 'thanksgiving', 'turkey', 'thanksgiving', 'mexican', 'turkey']","['thanksgiving', 'dinner']",Thanksgiving Dinner,0.62951565
