,abstract,lead_paragraph,headline,pub_date,document_type,section_name,type_of_material,keywords
0,The Ukraine war has revealed the Putin regime’s true weakness.,"Beware, Vladimir Putin: Spring is coming. And when it does, you’ll lose much of whatever leverage you had left.",Russia Is a Potemkin Superpower,2022-03-01T00:00:05+0000,article,Opinion,Op-Ed,"Russian Invasion of Ukraine (2022);Ruble (Currency);Embargoes and Sanctions;Putin, Vladimir V;Russia;Ukraine"
1,The first election night of the 2022 midterms has some famous names and crowded primary races. Here’s a rundown.,Follow our live updates on the Texas primary election and election results.,What We’re Watching in Tuesday’s Texas Primary Election,2022-03-01T00:05:41+0000,article,U.S.,News,"United States Politics and Government;internal-sub-only-nl;Elections, Governors;Primaries and Caucuses;Midterm Elections (2022);Texas"
2,The speech was originally going to center primarily on the president’s domestic agenda. But the war in Europe has forced the White House to change gears.,"WASHINGTON — President Biden will use his first State of the Union address on Tuesday to claim credit for a robust economy and a unified global response to Russia’s invasion of Ukraine, even as he acknowledges the pain of inflation and the struggle between “democracy and autocracy” around the world, administration officials said on Monday.","In State of the Union, Biden Will Focus on Economy and Global Response to Russia",2022-03-01T00:05:58+0000,article,U.S.,News,"United States Economy;United States International Relations;United States Politics and Government;Coronavirus (2019-nCoV);State of the Union Message (US);Russian Invasion of Ukraine (2022);Biden, Joseph R Jr"
3,The participation of Representatives Marjorie Taylor Greene and Paul Gosar at a far-right event renewed calls for Republican leaders to root out extremism in their party.,"WASHINGTON — Republican congressional leaders on Monday broke their silence about the participation of two House Republicans at a far-right conference with ties to white supremacy, denouncing the actions of Representative Marjorie Taylor Greene of Georgia and Representative Paul Gosar of Arizona.",G.O.P. Leaders Condemn Lawmakers’ Appearance at White Nationalist Conference,2022-03-01T00:06:44+0000,article,U.S.,News,"United States Politics and Government;Anti-Semitism;Right-Wing Extremism and Alt-Right;Gosar, Paul (1958- );Greene, Marjorie Taylor (1974- );House of Representatives;Republican Party;America First Action;Conservative Political Action Conference;Republican Jewish Coalition;Republican National Committee"
4,"As a financier, he amassed a fortune that he spent on Democrats, helping to propel his wife from San Francisco mayor to a long career in the Senate.","Richard C. Blum, a financier and major donor to Democrats — above all his wife, Senator Dianne Feinstein of California — died on Sunday at the family home in San Francisco. He was 86.","Richard Blum, Political Donor and Husband of Senator Feinstein, Dies at 86",2022-03-01T00:11:29+0000,article,U.S.,Obituary (Obit),"United States Politics and Government;Deaths (Obituaries);Philanthropy;Campaign Finance;Blum, Richard;Feinstein, Dianne;Blum Capital Partners;San Francisco (Calif);California;Senate;Democratic Party"
5,"In a rare show of dissent, three deputies of the State Duma have expressed regret about the attack.","Three members of Russia’s rubber-stamp Parliament have criticized their country’s war in Ukraine, a rare episode of dissent from within the Russian establishment.",A few members of the Russian Parliament speak out against the war.,2022-03-01T00:11:53+0000,article,World,News,Russian Invasion of Ukraine (2022)
6,"With a Supreme Court ruling looming, both parties expect the issue to resonate in this year’s midterm elections.",WASHINGTON — Republicans on Monday blocked the Senate from taking up sweeping abortion rights legislation as Democrats sought to put lawmakers on the record on the issue in advance of the midterm elections and a coming Supreme Court ruling on access to abortion.,Republicans Block Abortion Rights Measure in Senate,2022-03-01T00:19:09+0000,article,U.S.,News,Law and Legislation;United States Politics and Government;Abortion;Roe v Wade (Supreme Court Decision)
7,"A security fence, National Guard troops and more police surround the Capitol in preparation for the State of the Union address and a possible truck convoy of protesters.","WASHINGTON — Officials have ramped up security around the Capitol to levels not seen in months before President Biden’s State of the Union address set for Tuesday, as lawmakers brace for planned convoys of protesting truck drivers descending on Washington.","Bracing for Biden and Protests, Officials Fortify the Capitol",2022-03-01T00:26:13+0000,article,U.S.,News,"Storming of the US Capitol (Jan, 2021);Security and Warning Systems;United States Politics and Government;Capitol Building (Washington, DC);State of the Union Message (US);Homeland Security Department;Metropolitan Police Department (DC);National Guard;United States Capitol Police;Biden, Joseph R Jr;Bowser, Muriel E;Demonstrations, Protests and Riots"
8,The move is part of a larger effort to isolate Russia diplomatically and economically since it invaded Ukraine last week.,"With Russia’s invasion of Ukraine the center of attention at the United Nations, the United States said Monday that it would expel 12 Russian diplomats from Moscow’s U.N. mission, saying they were actually intelligence operatives who had spied on the United States.",The U.S. expels 12 Russian diplomats for spying as Ukraine dominates action at the U.N.,2022-03-01T00:27:11+0000,article,World,News,Russian Invasion of Ukraine (2022);Ukraine
9,Cryptocurrency has provided a way for investors to quickly move funds to Ukrainian fighters.,"As Russia’s invasion escalated over the weekend, Ukrainian officials made an unusual request on Twitter: Send us your crypto.",Ukraine Gets $22 Million in Crypto Donations to Fight Invasion,2022-03-01T00:31:13+0000,article,Business Day,News,Russian Invasion of Ukraine (2022);Virtual Currency;War and Armed Conflicts;Defense and Military Forces;Politics and Government;Crowdfunding (Internet);Computers and the Internet;Pussy Riot;Ukraine;Russia
