,abstract,lead_paragraph,headline,pub_date,document_type,section_name,type_of_material,keywords
0,"A New Zealand lawmaker talked about the idea last week, though a union is unlikely ever to take place.","Becoming a republic, legalizing same-sex marriage, changing the Constitution to establish an Aboriginal advisory body: To make these changes to Australian life requires — or has required — at least one nationwide vote.",Could Australia and New Zealand Become One Nation?,2023-09-01T01:42:20+0000,article,World,News,Indigenous Australians;Polls and Public Opinion;Referendums;International Relations
1,"A 6-foot-10 American, Isner had announced he would retire following the tournament. Losses in singles and doubles on Thursday ended a career known for powerful serves and a marathon match.","Josh Zipin of Manhattan rushed over from Arthur Ashe Stadium to the Grandstand court of the Billie Jean King National Tennis Center on Thursday hoping to catch the final set of John Isner’s singles match. Zipin, 34, said he had never seen Isner play live, and wanted to see what his “insane” serve looked like in person.",John Isner Says Goodbye to Pro Tennis at the U.S. Open,2023-09-01T01:57:49+0000,article,Sports,News,"Tennis;United States Open (Tennis);Isner, John;Content Type: Personal Profile;Mmoh, Michael (1998- )"
2,"Corrections that appeared in print on Friday, Sept. 1, 2023.","An article on Sunday about attempts throughout history to find the Loch Ness Monster cited a British Library blog post and included a drawing about a purported 12th-century sighting of the Loch Ness Monster. The library has since confirmed that the post was an April Fools’ joke published in 2013 and has affixed a note that “the events it describes are, sadly, fictitious. We hope you had as much fun reading it as we did writing it.” (We might have enjoyed it too much.)","Corrections: Sept. 1, 2023",2023-09-01T01:58:35+0000,article,Corrections,Correction,
3,"The pontiff arrived Friday on a trip that the Vatican said was meant to encourage the fewer than 1,500 Catholics there. But it also brings him close to two great powers that have vexed him.","Pope Francis has long expressed a desire to visit Russia and China in hopes of healing the church’s historical rifts and ensuring the faith’s future in the populous East. On Friday, he came very close, landing in Mongolia, a country sandwiched between the two geopolitical giants, with a minuscule Catholic population that no pope has visited before.","In Visit to Tiny Flock in Mongolia, Pope Has an Eye on Russia and China",2023-09-01T01:59:07+0000,article,World,News,Mongolia;Francis;Roman Catholic Church;International Relations;Politics and Government;Religion-State Relations;Russian Orthodox Church;Religion and Belief;Russian Invasion of Ukraine (2022);China;Russia
4,Robert Logan opens our solving weekend with an abundance of debut entries.,Jump to: Tricky Clues,Adventures in the Serengeti,2023-09-01T02:00:07+0000,article,Crosswords & Games,News,Crossword Puzzles
5,Joel Fagliano delivers a puzzle filled with visual tricks and tests.,"PUNS AND ANAGRAMS — Joel Fagliano has a daily presence in The Times’s Games lineup, both as a puzzles editor and the regular constructor of the mini crossword. He also makes a lot of diverse puzzles, including Puns and Anagrams. I was surprised to see that it’s been five years since his last one. Too long! I imagine that the mini has become an outlet for some of the whimsical clues that comprise a PandA, as these inventive grids are called.",Variety: Puns and Anagrams,2023-09-01T02:02:02+0000,article,Crosswords & Games,News,"Fagliano, Joel (Crossword Constructor);Puzzles"
6,"In an audio recording made just before the first G.O.P. debate, the super PAC’s chief strategist disparaged rivals and described an expensive attempt to thwart Donald Trump in Iowa.","Hours before the Republican Party’s first presidential debate, the chief strategist for the super PAC that has effectively taken over Ron DeSantis’s presidential campaign met with donors in Milwaukee.",DeSantis Super PAC’s Urgent Plea to Donors: ‘We Need 50 Million Bucks’,2023-09-01T02:02:31+0000,article,U.S.,News,"Presidential Election of 2024;DeSantis, Ron;Campaign Finance;Never Back Down Inc;Roe, Jeffrey B (1970- );Debates (Political)"
7,"Danelo Cavalcante, a Brazilian national, escaped from a prison near Philadelphia days after receiving a life sentence for homicide.","The police were searching early Friday for a Brazilian man they warned was “extremely dangerous” after he escaped from a prison near Philadelphia, days after he was sentenced to life in prison for the fatal stabbing of his former girlfriend.",Police Hunt for Convicted Murderer Who Escaped Pennsylvania Prison,2023-09-01T02:04:27+0000,article,U.S.,News,"Prison Escapes;Fugitives;Murders, Attempted Murders and Homicides;Cavalcant, Danelo;Chester County (Pa);Philadelphia (Pa);Pennsylvania;Brazil;Cavalcante, Danelo"
8,A former Goldman Sachs trader moved to the Bay Area to make it in tech. He ended up buying rural land with money from some of Silicon Valley’s wealthiest people.,"What if you built a new city from the ground up? The idea has tantalized urban planners and utopian dreamers for centuries. In 2017, Jan Sramek joined their crusade.",How the Dream of Building a California City From Scratch Got Started,2023-09-01T02:13:29+0000,article,Business Day,News,"Area Planning and Renewal;Land Use Policies;Real Estate (Commercial);Real Estate and Housing (Residential);Venture Capital;High Net Worth Individuals;Content Type: Personal Profile;Computers and the Internet;Sramek, Jan (Entrepreneur);Flannery Associates;California Forever LP;Collison, Patrick;Stripe Inc;Moritz, Michael Jonathan;Andreessen, Marc L;Andreessen Horowitz;Solano County (Calif);San Francisco Bay Area (Calif);Vallejo (Calif)"
9,"Tired of being deferential to men in my relationships, I decided to create my own drag king persona.","Slow moving, slow talking, with a melancholy sense of humor, my lover was in many ways my ideal of a man. So when we were told to imitate a man in my drag king workshop, he was the person who came to mind.",Why I Dress (and Act) Like a Man,2023-09-01T04:00:11+0000,article,Style,News,Love (Emotion);internal-sub-only;Dating and Relationships;Buenos Aires (Argentina);internal-open-access-from-nl
10,"Quotation of the Day for Friday, September 1, 2023.","“California is still the dream, but there’s not enough for everybody.”",Quotation of the Day: California Reconsiders Identity as Siren Song Fades,2023-09-01T04:00:13+0000,article,Corrections,Quote,
11,"Olivia Castor and Austin McNair met at Harvard through Ms. Castor’s roommate, who had a knack for matchmaking.","One day in April 2017, during the spring semester of her senior year at Harvard, Olivia Melissa Castor received a call from her roommate, who said, “Liv, I found your Barack Obama.”",Finding Her ‘Barack Obama’ With the Help of a Friend,2023-09-01T04:00:15+0000,article,Style,News,Dating and Relationships;Weddings and Engagements;Dormitories;Colleges and Universities
12,The deaths of dozens of people in a fire in South Africa.,"In one of the deadliest residential fires in South Africa’s history, at least 74 people, including at least a dozen children, were killed in Johannesburg after an early-morning blaze tore through a five-story building that city officials said had become a dilapidated settlement for squatters.",Friday Briefing,2023-09-01T04:00:17+0000,article,Briefing,briefing,
13,"Vipin Chamakkala and Amanda Robson, who both work in venture capital, met two years ago while working temporarily in New York.","When Vipin Mathew Chamakkala first spotted Amanda Elizabeth Robson at his previous company’s karaoke outing in Manhattan’s Koreatown in May 2021, he wondered what an interloper was doing there.",Finding a Lifetime Karaoke Partner Miles From Home,2023-09-01T04:00:17+0000,article,Style,News,Weddings and Engagements
14,"Dr. Stephen Meeneghan, a naturopathic doctor, was hesitant when he received a message on a dating app from Ryan Cassata, a transgender advocate and musician. Yet they clicked right away.","Ryan Otto Cassata had no intention of falling in love when he met Dr. Stephen Vincent Lee Meeneghan on Aug. 10, 2021 on the gay dating app Scruff.",Making It Official With a Song and a Scroll,2023-09-01T04:00:18+0000,article,Style,News,Weddings and Engagements
15,"Jennifer Lee and Dr. Sachin Jain bonded over commonalities in their upbringings. They also discovered, after separate car accidents, that they could count on each other.","While driving home from a work dinner in downtown Los Angeles in August 2021, Jennifer Lee’s Toyota Prius was suddenly struck in the side by another car that had run a red light. Ms. Lee had suffered whiplash, her car was badly damaged and she was in a state of shock.","In a Crisis (or Two), They Both Knew Where to Turn for Help",2023-09-01T04:00:18+0000,article,Style,News,Weddings and Engagements
16,"After it fired a worker for theft and its director stepped down, the museum faces renewed calls to give back contested objects and an uphill battle to raise funds for refurbishment.",Visitors to the British Museum this week could be forgiven for thinking it was business as usual.,A Scandal and Its Fallout Compound the British Museum’s Woes,2023-09-01T04:01:12+0000,article,Arts,News,"Museums;Robberies and Thefts;Arts and Antiquities Looting;Philanthropy;British Museum;Fischer, Hartwig;London (England)"
17,"As Waltz’s Berlin troupe commemorates its anniversary, its founder looks back on the lessons of those years, and forward to what comes next.","Thirty years ago, the young German choreographer Sasha Waltz founded a small contemporary dance company in Berlin. The newly reunified city wasn’t exactly a hub for modern dance, but when the wall came down on Nov. 9, 1989, Waltz, then living in Amsterdam, felt compelled to go there. “It wasn’t an artistic choice,” she said recently. “But it was such a unique moment. I knew I wanted to be part of this transformation.”",Sasha Waltz’s Dance Company: 30 Years of Giving Form to Feeling,2023-09-01T04:01:18+0000,article,Arts,News,"Dancing;Content Type: Personal Profile;Waltz, Sasha;Sasha Waltz & Guests (Dance Co);Staatsballett Berlin;Schaubuhne am Lehniner Platz;Sophiensaele (Berlin, Germany, Theater);Berlin (Germany);Germany"
18,"Events at the tournament highlight Pride, H.B.C.U.s and equal pay for women in sports.","Good morning. It’s Friday. Today we’ll look at celebrations at the U.S. Open for social and cultural movements like Pride and H.B.C.U. Live, a tribute to historically Black colleges.","At the U.S. Open, It’s Not Only Tennis That’s Being Celebrated",2023-09-01T04:06:04+0000,article,New York,briefing,"New York City;internal-storyline-no;Tennis;Historically Black Colleges and Universities;Women and Girls;United States Open (Tennis);Women's Rights;Ashe, Arthur, Stadium;Billie Jean King National Tennis Center;King, Billie Jean;Obama, Michelle;Flushing (Queens, NY)"
19,"For the United States, the expansion of BRICS is a challenge but also an opportunity.","For more than a decade, the United States mostly ignored BRICS. The grouping, formed by Brazil, Russia, India, China and South Africa, rarely registered on Washington’s radar. When it did, the impulse — as shown by Jake Sullivan, the national security adviser, recently stressing that the coalition is not “some kind of geopolitical rival” — was to downplay the group’s significance. Western commentators, for their part, largely painted BRICS as either a sign of Chinese attempts to dominate the global south or little more than a talking shop. Some even called for its dissolution.",American Power Just Took a Big Hit,2023-09-01T05:00:11+0000,article,Opinion,Op-Ed,BRICS Group;United States;International Relations;United States International Relations;China;South Africa;Egypt;Ethiopia;India;United Arab Emirates;Iran;Saudi Arabia
20,Such visits could help convey Beijing’s interest in stabilizing ties with Washington. But China has been noncommittal.,"When Gina Raimondo, the secretary of commerce, left China this week, it marked the end of a three-month diplomatic blitz by the Biden administration to try to stabilize ties with Beijing and arrest a free fall in the relationship that had raised concerns about the risk of conflict.",U.S. Officials Are Streaming to China. Will Beijing Return the Favor?,2023-09-01T05:22:30+0000,article,World,News,"China;United States International Relations;Asia-Pacific Economic Cooperation;Commerce Department;Biden, Joseph R Jr;Xi Jinping"
21,This word has appeared in 323 articles on NYTimes.com in the past year. Can you use it in a sentence?,"The word raucous has appeared in 323 articles on NYTimes.com in the past year, including on July 11 in “Gotta Save the Castle? Start a Podcast” by Elizabeth Paton:",Word of the Day: raucous,2023-09-01T06:00:02+0000,article,The Learning Network,News,
22,Feeling stuck on today’s puzzle? We can help.,"FRIDAY — Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below. For more Spelling Bee conversation, check out Deb Amlen’s weekly humor column, “Diary of a Spelling Bee Fanatic.”",Spelling Bee Forum,2023-09-01T07:00:08+0000,article,Crosswords & Games,News,Spelling Bee (Game)
23,"As it prepares to host a global climate summit, officials discussed ways to counter criticism of the Gulf state’s human rights policies.","When the United Arab Emirates hosts this year’s United Nations climate summit, it will elevate the Gulf nation’s global profile. But the conference is also inviting scrutiny of the Emirates’ record on human rights as well as its position as a leading oil producer.",Leaked Recording of U.A.E. Officials Reveals the Nation’s Concern Over Its Public Image,2023-09-01T07:00:09+0000,article,Climate,News,"Global Warming;Greenhouse Gas Emissions;Human Rights and Human Rights Violations;United Nations Framework Convention on Climate Change;Demonstrations, Protests and Riots;Oil (Petroleum) and Gasoline;Freedom of Speech and Expression;Public Relations and Publicity;United Nations;Al Jaber, Sultan (1973- );Abu Dhabi (United Arab Emirates);United Arab Emirates"
24,"Before Billie Jean King beat Bobby Riggs in the “Battle of the Sexes,” Phyllis Graber wanted to play tennis on a boys’ team. The rules said she couldn’t.","Growing up in Kew Gardens, Queens, in the 1960s, Phyllis Graber played stickball, handball and baseball, eventually falling for tackle football, which she played in Forest Park, the only girl who was interested. Concerned that she was “developing,” her parents encouraged her to shift her focus to something demanding less savagery. She found this vaguely ridiculous but chose tennis, a sport in which she excelled. While she would have been invaluable on any girls’ tennis team, Jamaica High School in 1970 did not have one.",The Forgotten Teenage Trailblazer of Women’s Tennis,2023-09-01T07:00:10+0000,article,New York,News,"Graber, Phyllis;Content Type: Personal Profile;Women and Girls;Discrimination;Women's Rights;Interscholastic Athletics;Tennis;Barbie (Doll);United States Open (Tennis);Board of Education (NYC);New York City;King, Billie Jean"
25,Our columnist reviews the day’s puzzle. Warning: Contains spoilers!,"Welcome to The Wordle Review. Be warned: This article contains spoilers for today’s puzzle. Solve Wordle first, or scroll at your own risk.",Today’s Wordle Review,2023-09-01T07:00:17+0000,article,Crosswords & Games,News,Crossword Puzzles;Wordle (Puzzle)
26,"The Weather Data team introduced a project that will track storms like Hurricane Idalia, which hit Florida this week.","On Sunday, Aug. 27, the National Oceanic and Atmospheric Administration detected a weather pattern that had increased enough in size to be labeled a tropical storm. It would become Idalia, the ninth named storm to form in the Atlantic this year. By Tuesday, Idalia had been upgraded to a hurricane. And on Wednesday, it made landfall as a Category 3 hurricane, hitting a sparsely populated area of Florida.","To Track a Storm, Keep the People in Its Path Front of Mind",2023-09-01T07:00:18+0000,article,Times Insider,News,Hurricane Idalia (2023);Weather;Hurricanes and Tropical Storms;Maps;New York Times
27,"How can something so beautiful to watch, a stroke so etched into tennis history, be so exploitable — and why have a dwindling handful of players remained loyal to it?","Behold the beautiful and beloved one-handed backhand, but do it quickly, because time is running short for tennis’s lustiest shot.",The One-Handed Backhand Is on the Way to Extinction,2023-09-01T07:00:24+0000,article,Sports,News,"Tennis;United States Open (Tennis);Wawrinka, Stanislas;Tsitsipas, Stefanos;Sampras, Pete;Navratilova, Martina;Musetti, Lorenzo (2002- );Federer, Roger;Eubanks, Christopher (1996- );Djokovic, Novak"
