video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
6937335710449978630,2021-03-08T12:25:42,55,SE,,3270,22,229,47600,"Reply to @f1ightr3acts Have fun with that, kiddo 🌸 #indigenous #sweden #sami #fyp #queer #pan #lgbtq #leftist",False,,sharknadovag,ur mom's queefs🍉🫒,,,,,,False
7300336670359162158,2023-11-11T17:35:00,146,US,"kate rockwell mean girls, mean girls musical, karl marx, renee rapp mean girls, avantika mean girls, mean girls broadway, mean girls, kate rockwell controversy, avantika song mean girls, karen mean girls",240300,507,355,1800000,Big thank you to Kate Rockwell for taking the time to not only come in and talk with our amazing cast but help out from one Karen to another. WE LOVE YOU💕 #amazing #talent #artistree #performing #arts #high #school #mean #girls #sexy #kate #rockwell ,False,,artistreearts,Artistree Performing Arts,,,,,,False
7290654888881687850,2023-10-16T16:24:47,7,US,,64800,822,6255,869400,#inflation #panera ,False,,allyrbackus,ally,,,,,,False
7292547810367573294,2023-10-21T18:50:16,11,US,,4851,139,19,303800,Easy to make last minute!! #fall #halloween #lastminutecostumes #halloweencostumes #costumeideas #maxineminx #bettyboop #blackswan #halloween2023 #spookyseason #fyp ,False,,audreyssuperswaggy,Audi⭐️,,,,,,False
7280575928810409246,2023-09-19T12:33:05,6,US,,192100,9027,598,746100,the guy in the background’s reaction is killing me lmao #umich #college #ugli #michigan #student #library ,False,,rishikavinny,Rishika V✨,,,,,,False
7288376132578053418,2023-10-10T13:01:56,111,US,,1000000,2591,5846,11600000,Could you answer all of them correctly? #trivia #triviachallenge #questions #extramedium #michigan ,False,,extramediummedia,Extra Medium,,,,,,False
7303962645068057889,2023-11-21T12:05:28,40,GB,"bus drivers pov shanghai, the bus drivers pov, mojo bus driver, bus driver shanghai, bus drivers pov china, bus drivers pov shanghai pooig, drivers pov, mojo bus, china, driver",550200,7227,3404,7700000,"Unlucky passengers were treated to an unwanted present after CCTV footage seems to show a man going to the toilet on a bus seat. Without a care in the world, he appears to pull his trousers down and squat at the back of the bus, with the driver later discovering the nasty present. If it couldn’t get any worse, the bus company has even revealed that he’d ridden past nine stops, so had so many chances to get off and go to the loo elsewhere. #fyp #viralvideo #viraltiktok #news #chinanews #shanghai #caughtoncamera #bus #transportnews #shockingmoments #worldnews #bustok ",False,,metrouk,MetroUK,,,,,,True
7292071445864271134,2023-10-20T12:01:41,35,US,,16500,1730,197,81400,The most welcoming people and delicious pastries! #boston #palestine #bostonrestaurant #bakery #coffeeshops ,False,,thecitylists,The City Lists,,,,,,False
7295549368885693738,2023-10-29T20:57:47,43,US,,16,0,0,288,The music ends right when we’re laughing at our at our pets  #seventeen #albumunboxing #kpop #scoups #seventeenth_heaven ,False,,jesstoc82,Jessica,,,,,,False
7295059250852760874,2023-10-28T13:15:52,16,US,"Toy Chica, Love Taste Chica, i wanna show you off, toy chica edit, chica fnaf, chica, love taste, fnaf edits, toy chica cosplay, funtime chica",184500,4546,2674,1500000,i wanna show u off🤩 #toychica #tbsxobrien #fypシ #fnaf #foryoupage ,False,,tbsxobrien,Iz ☆,,,,,,False
7232870929590652203,2023-05-13T23:13:25,14,US,,455,92,145,87000,#jerseyclub #dababy #jerseydance #shakesumn #dance #fyp ,False,,lilpanghu_,LilPangHu_,,,,,,False
7284629865473625387,2023-09-30T10:44:40,7,US,,318200,35800,1478,4900000,What a tackle though 😂 (via @Matt Jensen) #baseball #football #tackle #funny ,False,,espn,ESPN,,,,,,True
