video_id,Transcription,Date,Length,Original Comparison
7297432141485444394," The Zionist argument we will address today is Hamas is a terrorist organization. As of 1997, the American government listed Hamas as a terrorist organization. Alongside that, the definition of terrorism is So, yeah, by really any definition, Hamas is a terrorist organization. But according to America's own legal definition of",2023-11-03,51,hashtag
7298819910145232174," I think I didn't see you, there were flashing lights At least I had the decency to keep my lights I decide on the room, both on my hips and thighs And I whispered sighs, hold on, I think about John",2023-11-07,41,nyt
7294328136831962398, I wanna be where the fuck my blunt where the fuck my to figure out what she's talking inside do it all and I'm a fine skinny,2023-10-26,27,nyt
7306664718050102570," So it has come to my attention and to a lot of older k-pop stans' attention that the newer generation doesn't know who TVXQ is or the powerhouse vocals that Changmin has. Let me tell you something about Changmin. Changmin can out sing any 4th Jin, 3rd Jin, 5th Jin, you name it. He can out sing them. You don't believe me? Let me show you. Let me show you.",2023-11-28,70,nyt
7298818526658235694," I think I didn't see you, there were flashing lights At least I had the decency to keep on light Out of sight, only fumbles from my hips and thighs And I whispered sighs, oh I think about jumping, off a very tall something Just to see you come running, and say the one thing I've been wanting But no, flashing lights",2023-11-07,62,nyt
7295906621237185838," Now that we don't talk I called my mom, she said that it was for the best Remind myself the more I gave you, won't be last I can't be your friend, so I pay the price of what I lost And what it cost Now that we don't talk",2023-10-30,50,nyt
7246887287114435886," When I drank that whole glass of wine, I had to do that like three times. I was like, let's go again, let's go again. And I had like, you know, the craziest poop of my life that day. It was gonna be grape juice, but the non-alcoholic wine, which still had like 0.02% alcohol or something, looked more realistic. I was pretty excited to do it though, that was really fun.",2023-06-20,72,nyt
7289889564401978670," No, because I think I'm actually living my worst nightmare. So about three weeks ago, give or take, I attended Paris Fashion Week. I left early. I left maybe 48 hours before the bedbug news. So, whoo! Thank God I avoided that one. I've awoken this morning to potentially the worst sight I've ever seen and feeling. Foot warning. Don't look at my hairy legs. I have about 20 bites on one foot. They've appeared out of nowhere. At the moment, I don't see any on the rest of my body. Although I do feel I am now getting that psychosomatic thing where everything itches. Please say it ain't so. It ain't the",2023-10-14,113,nyt
7293031882474736939," You know, as a Romani person, I often hear from both sides of the political spectrum that us Romani people need a homeland. On one side we have, y'all are indigenous to South Asia, you don't belong here. On the other, y'all are indigenous to South Asia, you don't belong here. Both are equally harmful. This idea comes from the fact that yes, Romani people, we come from South Asia.",2023-10-23,70,hashtag
7292366417037364510," If he only knew the you that we know And that silly little creature isn't wearing his ring And she doesn't play piano, or dance, or sing No, she doesn't compare But she still breathes air Who cares? Unimportant Overrated Overblown If only he could see how special you can be If he only knew the you that we know",2023-10-21,60,nyt
7309259574001847583," As you may know, 2023 was a wild year for us here at Spotify. We beat quarterly expectations in Q3. Next slide. We made some tweaks to our royalty policy and we saw that price increases didn't put off customers. But speaking of putting off customers, we implemented AI into our platform and launched the Spotify DJ. I'm going to let him take it from here. Hey fam, I'm going to switch up the vibe a little bit. If you're on this call, then today is your last day at Spotify. Up next is your Severance package.",2023-12-05,97,poster
7303120619665919278," It's time to get in here. I'll have to buy a ticket. Can't you give me five more minutes? Time goes by, the clock don't stop. I wish I had a few more tries for the good stuff.",2023-11-19,38,hashtag
